word,count
the,31
a,26
and,21
of,21
to,17
model,16
as,15
is,15
for,12
are,11
semantic,10
that,10
similarity,10
on,9
we,9
Sentence,9
can,8
tasks,8
by,7
,7
training,7
Universal,7
in,6
text,6
such,6
variety,6
models,6
classification,6
Encoder,6
encoder,6
from,5
be,5
In,5
this,5
task,5
more,5
described,5
architecture,5
natural,4
language,4
research,4
representations,4
performance,4
new,4
way,4
sentence,4
similar,4
they,4
responses,4
Textual,3
